Rule,File,Line,Justification
rust/cleartext-logging,src/commands/key.rs,135,"Key ID (UUID) is not a secret — it's the public identifier for key management"
rust/cleartext-logging,src/commands/key.rs,140,"Key prefix is designed for display — only first 12 chars, not the full secret"
rust/cleartext-logging,src/preset/mod.rs,273,"OAuth provider ID (e.g. 'anthropic-max') is a config identifier, not a secret"
rust/cleartext-logging,src/providers/openai/mod.rs,171,"Auth value used in header only, never logged — CodeQL traces data flow through expose_secret() but the value goes to Authorization header, not tracing"
rust/cleartext-logging,src/providers/openai/mod.rs,229,"Same as above — auth value flows to HTTP header, not logs"
rust/cleartext-logging,src/providers/openai/mod.rs,325,"Same as above — auth value flows to HTTP header, not logs"
rust/cleartext-logging,src/server/middleware.rs,112,"expose_secret() used for emptiness check only, value never logged"
rust/cleartext-logging,src/server/middleware.rs,133,"expose_secret() used for constant-time comparison only, value never logged"
rust/cleartext-logging,src/server/middleware.rs,141,"Same as above — constant-time comparison, no logging"
rust/cleartext-logging,tests/integration/http_test.rs,70,"Test code — hardcoded test API key, not production"
rust/cleartext-transmission,src/auth/oauth.rs,457,"OAuth token exchange requires sending credentials to the HTTPS token endpoint — this is the OAuth 2.0 spec"
rust/cleartext-transmission,src/auth/oauth.rs,469,"Same as above — OAuth PKCE token exchange over HTTPS"
rust/cleartext-transmission,src/providers/gemini/mod.rs,360,"Gemini API design: API key sent as URL query parameter over HTTPS"
rust/cleartext-transmission,src/providers/gemini/mod.rs,450,"Same as above — Gemini API key in URL over HTTPS"
rust/disabled-certificate-check,benches/http_overhead.rs,160,"Benchmark code uses self-signed certificates — never runs in production"
rust/disabled-certificate-check,benches/http_overhead.rs,291,"Same — benchmark-only"
rust/disabled-certificate-check,benches/http_overhead.rs,325,"Same — benchmark-only"
rust/hard-coded-cryptographic-value,src/auth/token_store.rs,267,"0o600 is a Unix file permission mode, not a cryptographic value"
rust/hard-coded-cryptographic-value,src/features/dlp/names.rs,161,"Deterministic seed for name pseudonymization — must be consistent across requests for reversible mapping"
rust/hard-coded-cryptographic-value,src/security/audit_signer.rs,150,"Zero-initialized buffer immediately overwritten from file or CSPRNG"
rust/hard-coded-cryptographic-value,src/security/audit_signer.rs,154,"Zero-initialized buffer immediately overwritten from file or CSPRNG"
rust/path-injection,src/auth/token_store.rs,227,"Mitigated: path traversal check rejects '..' components before any file I/O"
rust/uncontrolled-allocation-size,src/server/openai_compat/transform.rs,178,"Mitigated: request body size limited by RequestBodyLimitLayer (default 10MB) in middleware stack"
rust/uncontrolled-allocation-size,src/server/openai_compat/transform.rs,199,"Same — body size capped at middleware level before reaching this code"
rust/cleartext-transmission,src/commands/credential_check.rs,146,"Mitigated: runtime guard rejects non-HTTPS URLs before sending credentials"
rust/cleartext-logging,src/commands/key.rs,288,"Key ID (UUID) is a public identifier, not a secret — displayed intentionally for user confirmation"
